type,epoch,split_num,SROCC,KROCC,PLCC,RMSE
final,30,9,0.861275423,0.674796748,0.876890805,1.270917011
best,15,9,0.89741512,0.737514518,0.906010482,1.119063673
final,30,8,0.822218621,0.632984901,0.885034838,0.964634492
best,6,8,0.886719067,0.732868757,0.959586294,0.583131505
final,30,7,0.880110207,0.706566069,0.92605633,0.827866222
best,12,7,0.904582473,0.741429527,0.942717505,0.731797563
final,30,6,0.955108986,0.842044135,0.960699737,0.673918312
best,25,6,0.96013289,0.849012776,0.962699155,0.656886278
final,30,5,0.894335953,0.707317073,0.928875912,0.937189769
best,29,5,0.89968398,0.716608595,0.933109763,0.909864382
final,30,4,0.941657888,0.804878049,0.956764952,0.723102914
best,15,4,0.946195608,0.804878049,0.957698149,0.715427057
final,30,3,0.915035858,0.771644523,0.903185203,1.053888781
best,29,3,0.937158139,0.808832211,0.927062,0.920466855
final,30,2,0.807957216,0.635307782,0.835596894,1.259489306
best,7,2,0.862733976,0.695702671,0.8930205,1.031760168
final,30,1,0.910380034,0.760743322,0.910959501,0.949530605
best,5,1,0.928044729,0.770034843,0.929843712,0.847000768
